Date,BRK-A,CL=F,GC=F,KE=F,NG=F,SQM,TSLA,ZF=F,ZR=F
2013-01-02,139610.0,93.12000274658203,1687.9000244140625,811.0,3.2330000400543213,33.89111328125,2.357332944869995,124.1875,1475.5
2013-01-03,140549.0,92.91999816894531,1673.699951171875,811.25,3.197999954223633,33.6535530090332,2.318000078201294,123.9453125,1478.0
2013-01-04,140803.0,93.08999633789062,1648.0999755859375,804.5,3.2869999408721924,33.624576568603516,2.293333053588867,123.890625,1503.0
2013-01-07,140190.0,93.19000244140625,1645.5,807.5,3.2660000324249268,33.3812141418457,2.2893331050872803,123.90625,1497.5
2013-01-08,141000.0,93.1500015258789,1661.5,808.75,3.2179999351501465,33.410194396972656,2.245332956314087,124.03125,1496.0
2013-01-09,140000.0,93.0999984741211,1654.800048828125,801.25,3.11299991607666,33.6419677734375,2.2426669597625732,124.1640625,1500.0
2013-01-10,141768.0,93.81999969482422,1677.300048828125,796.5,3.193000078201294,33.908504486083984,2.23533296585083,124.015625,1487.0
2013-01-11,141525.0,93.55999755859375,1660.0,807.0,3.3269999027252197,34.04756546020508,2.194000005722046,124.0625,1503.5
2013-01-14,143000.0,94.13999938964844,1668.9000244140625,823.5,3.372999906539917,33.71729278564453,2.2173330783843994,124.1328125,1485.0
2013-01-15,143205.0,93.27999877929688,1683.4000244140625,838.25,3.4549999237060547,33.1320686340332,2.259999990463257,124.2421875,1506.0
2013-01-16,142964.0,94.23999786376953,1682.699951171875,842.5,3.434999942779541,33.016178131103516,2.2733330726623535,124.265625,1515.0
2013-01-17,143484.0,95.48999786376953,1690.4000244140625,837.0,3.49399995803833,33.33485412597656,2.2920000553131104,124.0234375,1524.0
2013-01-18,143502.0,95.55999755859375,1686.5999755859375,843.75,3.565999984741211,33.93167495727539,2.301332950592041,124.15625,1516.0
2013-01-22,144805.0,96.23999786376953,1692.800048828125,830.75,3.558000087738037,33.781028747558594,2.3459999561309814,124.2265625,1540.0
2013-01-23,145568.0,95.2300033569336,1686.300048828125,830.25,3.553999900817871,33.5782356262207,2.4000000953674316,124.21875,1530.5
2013-01-24,146227.0,95.94999694824219,1669.5,821.5,3.446000099182129,33.42177200317383,2.4660000801086426,124.1875,1528.5
2013-01-25,147290.0,95.87999725341797,1656.4000244140625,829.5,3.444000005722046,33.10888671875,2.4653329849243164,123.75,1548.0
2013-01-28,146720.0,96.44000244140625,1652.4000244140625,832.75,3.2890000343322754,32.74964141845703,2.5353329181671143,123.6171875,1535.0
2013-01-29,146495.0,97.56999969482422,1660.699951171875,830.75,3.2260000705718994,32.87710952758789,2.5299999713897705,123.65625,1552.5
2013-01-30,145505.0,97.94000244140625,1679.9000244140625,840.75,3.3350000381469727,32.88290786743164,2.501332998275757,123.6953125,1540.0
2013-01-31,145875.0,97.48999786376953,1660.5999755859375,837.75,3.3389999866485596,32.9350471496582,2.500667095184326,123.734375,1550.5
2013-02-01,147086.0,97.7699966430664,1669.4000244140625,822.0,3.3010001182556152,32.709068298339844,2.553333044052124,123.765625,1556.0
